vehicle_age,km_driven,mileage,engine,max_power,seats,selling_price,car_name_freq
2,30000,17.0,1197,110.0,5,1130000,15
1,35000,21.21,1197,81.8,5,670000,890
4,62876,10.91,3198,197.0,7,2875000,47
6,70000,25.8,1498,98.6,5,350000,362
6,84003,26.59,1248,74.0,5,530000,890
4,55000,16.55,2498,105.0,6,850000,62
5,42000,33.44,796,40.3,4,260000,778
8,31000,20.92,998,67.1,5,230000,778
8,80000,22.7,1498,89.84,5,475000,374
2,6000,17.0,1198,108.5,5,750000,85
2,12000,12.63,2179,147.5,5,4000000,51
8,65000,17.2,1968,138.1,5,499000,93
4,30000,18.7,1199,88.7,5,525000,175
7,10000,18.6,1197,81.83,5,535000,906
5,62150,23.26,1197,88.5,5,485000,17
6,47300,15.1,2179,140.0,7,745000,330
6,63000,25.83,1498,99.0,5,475000,65
7,80000,24.0,1120,70.0,5,300000,580
5,20400,18.0,1969,190.0,5,3650000,4
5,71000,24.7,796,47.3,5,299000,778
4,52000,24.52,1248,88.5,7,695000,343
8,70000,18.5,1197,82.85,5,400000,906
1,20000,20.7,1197,81.86,5,650000,580
6,70000,24.0,1120,70.0,5,455000,580
13,100000,18.9,1061,67.0,5,150000,717
3,50000,17.8,1198,86.7,5,550000,362
6,67000,22.54,1396,88.73,5,500000,906
8,70000,22.32,1582,126.3,5,365000,492
2,21100,18.1,1199,88.7,5,775000,362
6,50000,18.9,1197,82.0,5,310000,580
2,27594,18.27,998,118.35,5,995000,58
9,70000,19.81,1086,68.05,5,190000,410
5,37000,11.36,2755,171.5,7,1575000,545
2,25000,17.5,1199,88.7,5,906000,101
4,35000,23.0,1498,98.96,5,785000,374
10,11266,20.92,998,67.1,5,235000,778
2,12005,17.99,1462,103.2,6,1200000,7
8,80000,15.96,2523,62.1,7,470000,211
10,119000,17.0,1497,118.0,5,400000,757
1,3500,16.8,1497,113.4,5,1490000,28
2,11000,21.4,1197,83.1,5,535000,364
5,47612,21.13,1498,108.6,5,590000,182
5,41000,25.17,799,53.3,5,235000,306
2,21000,15.8,1591,121.3,5,1250000,336
6,120000,20.51,998,67.04,5,300000,717
2,22450,20.68,1995,190.0,5,3011000,54
1,10000,21.21,1197,81.8,5,615000,781
5,50000,25.17,799,53.3,5,250000,306
6,42000,16.0,2179,140.0,7,925000,330
2,14000,19.3,1248,73.9,5,725000,890
3,10000,23.01,999,67.0,5,350000,306
4,70000,20.51,998,67.04,5,360000,717
6,70000,25.1,1498,98.6,5,700000,757
3,50000,15.1,2179,152.87,7,1300000,330
10,64471,15.26,1598,103.5,5,285000,373
17,50000,18.9,998,67.1,5,62000,717
3,20000,20.89,1197,81.8,5,550000,73
4,33869,17.8,1198,86.7,5,527000,362
9,63497,15.96,2523,62.1,7,396000,211
7,70000,19.1,1197,85.8,5,384000,890
12,67000,20.36,1197,78.9,5,210000,410
6,50000,25.2,1248,74.0,5,500000,781
3,20000,22.7,799,53.64,5,210000,75
9,57000,17.01,1591,121.3,5,425000,492
10,30000,13.6,2523,63.0,7,425000,211
3,80000,28.4,1248,74.02,5,495000,890
5,50000,24.7,796,47.3,5,220000,778
10,190000,11.57,2179,138.1,7,218000,100
3,60000,15.96,2523,62.1,7,750000,211
4,60000,19.12,1373,91.1,5,715000,346
7,21000,17.68,1968,174.33,5,1800000,64
1,5000,22.05,796,47.3,5,350000,778
2,25000,25.17,799,53.3,5,300000,306
11,100000,20.92,998,67.1,5,168000,778
9,175000,11.8,2993,241.6,7,2500000,51
9,86500,14.21,2143,203.0,5,1400000,125
9,120000,19.3,1248,73.9,5,350000,890
8,76300,22.32,1582,126.32,5,480000,492
2,10000,24.04,999,67.0,5,400000,306
2,36000,18.9,1197,81.86,5,495000,580
5,26000,18.15,1198,82.0,6,420000,66
3,100000,23.4,1248,74.0,5,531000,890
2,4000,17.0,1497,121.36,5,800000,374
6,86000,26.59,1248,74.0,5,550000,890
9,81000,20.54,1598,103.6,5,465000,247
9,41321,19.7,796,46.3,5,185000,778
10,46000,13.6,2523,63.0,7,340000,211
12,75000,16.9,1497,100.0,5,340000,757
12,113000,21.79,998,67.05,5,135000,717
3,15000,19.08,1582,126.2,5,1225000,492
6,16942,18.0,1198,86.7,5,439000,362
5,29484,18.7,1199,88.7,5,465000,175
6,84405,26.59,1248,74.0,5,530000,890
4,30000,21.21,1197,81.8,5,650000,890
4,14838,22.0,1197,81.8,5,525000,781
3,31318,17.8,1497,117.3,5,885000,757
14,63000,21.79,998,67.05,5,120000,717
9,120000,12.99,2494,100.0,7,860000,545
5,50000,24.3,1248,88.5,5,810000,295
9,74600,19.3,1248,73.9,5,410000,890
12,80000,13.93,2179,138.1,7,175000,100
6,66000,20.85,1197,83.14,5,400000,890
3,31543,16.8,1497,116.3,5,875000,757
3,80000,13.68,2393,147.8,8,1350000,545
7,60000,25.2,1248,74.0,5,450000,781
6,50000,25.1,1498,98.6,5,700000,757
8,28000,12.07,2967,241.4,7,2650000,23
9,60000,17.5,1197,85.8,5,350000,890
3,18000,21.63,998,67.0,5,460000,237
10,35000,20.92,998,67.1,5,220000,778
4,48000,19.67,1582,126.2,5,990000,336
5,50000,15.4,1997,120.0,7,950000,273
9,120000,15.96,2523,62.1,7,460000,211
9,20000,15.1,1196,73.0,5,220000,125
3,50000,16.55,2498,105.0,6,900000,62
6,53837,16.93,1197,103.2,5,575000,247
6,48000,12.55,2982,168.5,7,1930000,187
8,32000,18.6,1197,85.8,5,475000,781
1,1784,20.0,999,71.0,7,660000,12
10,98955,13.2,1995,170.0,5,575000,152
8,52000,12.99,2494,100.0,7,625000,545
3,39000,13.0,1591,121.3,5,1250000,336
5,78000,25.32,1198,77.0,6,425000,66
5,58000,19.44,1198,67.0,7,460000,85
3,34500,18.25,1968,187.74,5,3000000,99
11,60000,16.47,1198,73.9,5,200000,373
8,76000,20.92,998,67.1,5,211000,778
6,51000,20.77,1248,88.76,7,600000,343
